id,date,amount,inc,exp,concepto
0001,1/01/2014,1000,1,0,Aqui va un concepto
0001,1/01/2014,20,0,1,Aqui va un concepto
0001,1/01/2014,50,0,1,Aqui va un concepto
0001,2/01/2014,20,0,1,Aqui va un concepto
0001,2/01/2014,50,0,1,Aqui va un concepto
0001,3/01/2014,20,0,1,Aqui va un concepto
0001,3/01/2014,50,0,1,Aqui va un concepto
0001,5/01/2014,500,1,0,Aqui va un concepto
0001,6/01/2014,20,0,1,Aqui va un concepto
0001,6/01/2014,50,0,1,Aqui va un concepto
0001,7/01/2014,20,0,1,Aqui va un concepto
0001,7/01/2014,50,0,1,Aqui va un concepto
0001,8/01/2014,20,0,1,Aqui va un concepto
0001,8/01/2014,50,0,1,Aqui va un concepto
0001,9/01/2014,20,0,1,Aqui va un concepto
0001,9/01/2014,50,0,1,Aqui va un concepto
0001,10/01/2014,20,0,1,Aqui va un concepto
0001,10/01/2014,50,0,1,Aqui va un concepto
0001,12/01/2014,500,1,0,Aqui va un concepto
0001,13/01/2014,20,0,1,Aqui va un concepto
0001,13/01/2014,50,0,1,Aqui va un concepto
0001,14/01/2014,20,0,1,Aqui va un concepto
0001,14/01/2014,50,0,1,Aqui va un concepto
0001,15/01/2014,1000,1,0,Aqui va un concepto
0001,15/01/2014,20,0,1,Aqui va un concepto
0001,15/01/2014,50,0,1,Aqui va un concepto
0001,16/01/2014,20,0,1,Aqui va un concepto
0001,16/01/2014,50,0,1,Aqui va un concepto
0001,17/01/2014,20,0,1,Aqui va un concepto
0001,17/01/2014,50,0,1,Aqui va un concepto
0001,19/01/2014,500,1,0,Aqui va un concepto
0001,20/01/2014,20,0,1,Aqui va un concepto
0001,20/01/2014,50,0,1,Aqui va un concepto
0001,21/01/2014,20,0,1,Aqui va un concepto
0001,21/01/2014,50,0,1,Aqui va un concepto
0001,22/01/2014,20,0,1,Aqui va un concepto
0001,22/01/2014,50,0,1,Aqui va un concepto
0001,23/01/2014,20,0,1,Aqui va un concepto
0001,23/01/2014,50,0,1,Aqui va un concepto
0001,24/01/2014,20,0,1,Aqui va un concepto
0001,24/01/2014,50,0,1,Aqui va un concepto
0001,26/01/2014,500,1,0,Aqui va un concepto
0001,27/01/2014,20,0,1,Aqui va un concepto
0001,27/01/2014,50,0,1,Aqui va un concepto
0001,28/01/2014,20,0,1,Aqui va un concepto
0001,28/01/2014,50,0,1,Aqui va un concepto
0001,29/01/2014,20,0,1,Aqui va un concepto
0001,29/01/2014,50,0,1,Aqui va un concepto
0001,30/01/2014,20,0,1,Aqui va un concepto
0001,30/01/2014,50,0,1,Aqui va un concepto
0001,31/01/2014,1000,1,0,Aqui va un concepto
0001,31/01/2014,20,0,1,Aqui va un concepto
0001,31/01/2014,50,0,1,Aqui va un concepto
0001,1/02/2014,1000,1,0,Aqui va un concepto
0001,2/02/2014,500,1,0,Aqui va un concepto
0001,3/02/2014,20,0,1,Aqui va un concepto
0001,3/02/2014,50,0,1,Aqui va un concepto
0001,4/02/2014,20,0,1,Aqui va un concepto
0001,4/02/2014,50,0,1,Aqui va un concepto
0001,5/02/2014,20,0,1,Aqui va un concepto
0001,5/02/2014,50,0,1,Aqui va un concepto
0001,6/02/2014,20,0,1,Aqui va un concepto
0001,6/02/2014,50,0,1,Aqui va un concepto
0001,7/02/2014,20,0,1,Aqui va un concepto
0001,7/02/2014,50,0,1,Aqui va un concepto
0001,9/02/2014,500,1,0,Aqui va un concepto
0001,10/02/2014,20,0,1,Aqui va un concepto
0001,10/02/2014,50,0,1,Aqui va un concepto
0001,11/02/2014,20,0,1,Aqui va un concepto
0001,11/02/2014,50,0,1,Aqui va un concepto
0001,12/02/2014,20,0,1,Aqui va un concepto
0001,12/02/2014,50,0,1,Aqui va un concepto
0001,13/02/2014,20,0,1,Aqui va un concepto
0001,13/02/2014,50,0,1,Aqui va un concepto
0001,14/02/2014,20,0,1,Aqui va un concepto
0001,14/02/2014,50,0,1,Aqui va un concepto
0001,15/02/2014,1000,1,0,Aqui va un concepto
0001,16/02/2014,500,1,0,Aqui va un concepto
0001,17/02/2014,20,0,1,Aqui va un concepto
0001,17/02/2014,50,0,1,Aqui va un concepto
0001,18/02/2014,20,0,1,Aqui va un concepto
0001,18/02/2014,50,0,1,Aqui va un concepto
0001,19/02/2014,20,0,1,Aqui va un concepto
0001,19/02/2014,50,0,1,Aqui va un concepto
0001,20/02/2014,20,0,1,Aqui va un concepto
0001,20/02/2014,50,0,1,Aqui va un concepto
0001,21/02/2014,20,0,1,Aqui va un concepto
0001,21/02/2014,50,0,1,Aqui va un concepto
0001,23/02/2014,500,1,0,Aqui va un concepto
0001,24/02/2014,20,0,1,Aqui va un concepto
0001,24/02/2014,50,0,1,Aqui va un concepto
0001,25/02/2014,20,0,1,Aqui va un concepto
0001,25/02/2014,50,0,1,Aqui va un concepto
0001,26/02/2014,20,0,1,Aqui va un concepto
0001,26/02/2014,50,0,1,Aqui va un concepto
0001,27/02/2014,20,0,1,Aqui va un concepto
0001,27/02/2014,50,0,1,Aqui va un concepto
0001,28/02/2014,1000,1,0,Aqui va un concepto
0001,28/02/2014,20,0,1,Aqui va un concepto
0001,28/02/2014,50,0,1,Aqui va un concepto
0001,1/03/2014,1000,1,0,Aqui va un concepto
