"","date","amount","inc","exp","concepto"
"1",2014-01-02,132.240497457526,0,1,"Aqui va un concepto"
"2",2014-01-03,8.93538494652302,0,1,"Aqui va un concepto"
"3",2014-01-03,52.6796458763414,0,1,"Aqui va un concepto"
"4",2014-01-03,105.373007198832,0,1,"Aqui va un concepto"
"5",2014-01-03,26.5241387571925,0,1,"Aqui va un concepto"
"6",2014-01-04,120.088735898758,0,1,"Aqui va un concepto"
"7",2014-01-04,101.985167495673,0,1,"Aqui va un concepto"
"8",2014-01-04,110.498023778597,1,0,"Aqui va un concepto"
"9",2014-01-05,98.6385480303143,0,1,"Aqui va un concepto"
"10",2014-01-05,126.172576933834,0,1,"Aqui va un concepto"
"11",2014-01-06,77.1789819425429,0,1,"Aqui va un concepto"
"12",2014-01-07,86.8686316445163,0,1,"Aqui va un concepto"
"13",2014-01-07,79.599403467492,0,1,"Aqui va un concepto"
"14",2014-01-07,83.837189081097,0,1,"Aqui va un concepto"
"15",2014-01-07,108.715866536898,0,1,"Aqui va un concepto"
"16",2014-01-08,118.922219404295,0,1,"Aqui va un concepto"
"17",2014-01-09,53.1022699993381,0,1,"Aqui va un concepto"
"18",2014-01-09,159.405728189747,0,1,"Aqui va un concepto"
"19",2014-01-10,101.223854545857,0,1,"Aqui va un concepto"
"20",2014-01-11,103.64966000459,0,1,"Aqui va un concepto"
"21",2014-01-11,117.623939775625,0,1,"Aqui va un concepto"
"22",2014-01-11,144.817869946749,0,1,"Aqui va un concepto"
"23",2014-01-11,63.6048501159856,0,1,"Aqui va un concepto"
"24",2014-01-13,154.822133223926,0,1,"Aqui va un concepto"
"25",2014-01-13,108.378795821559,0,1,"Aqui va un concepto"
"26",2014-01-15,135.046110479224,0,1,"Aqui va un concepto"
"27",2014-01-15,159.080682065868,1,0,"Aqui va un concepto"
"28",2014-01-15,86.2017562749043,0,1,"Aqui va un concepto"
"29",2014-01-16,109.497867059763,0,1,"Aqui va un concepto"
"30",2014-01-16,125.701582217206,0,1,"Aqui va un concepto"
"31",2014-01-18,189.13063902305,0,1,"Aqui va un concepto"
"32",2014-01-19,96.6275839077981,0,1,"Aqui va un concepto"
"33",2014-01-19,151.0835568809,1,0,"Aqui va un concepto"
"34",2014-01-19,85.468082565763,0,1,"Aqui va un concepto"
"35",2014-01-21,59.1809689336143,0,1,"Aqui va un concepto"
"36",2014-01-21,170.327129103091,1,0,"Aqui va un concepto"
"37",2014-01-22,43.852527771499,0,1,"Aqui va un concepto"
"38",2014-01-24,116.989051213886,0,1,"Aqui va un concepto"
"39",2014-01-24,139.429003530106,0,1,"Aqui va un concepto"
"40",2014-01-24,150.25740065919,0,1,"Aqui va un concepto"
"41",2014-01-24,168.005685011351,0,1,"Aqui va un concepto"
"42",2014-01-24,91.6862187808523,0,1,"Aqui va un concepto"
"43",2014-01-25,57.4324636211052,0,1,"Aqui va un concepto"
"44",2014-01-25,135.438273671999,0,1,"Aqui va un concepto"
"45",2014-01-26,64.6970695920169,0,1,"Aqui va un concepto"
"46",2014-01-27,145.994785606278,0,1,"Aqui va un concepto"
"47",2014-01-29,85.3763282874824,0,1,"Aqui va un concepto"
"48",2014-01-29,9.83963332894106,0,1,"Aqui va un concepto"
"49",2014-01-29,36.4533719479697,1,0,"Aqui va un concepto"
"50",2014-01-30,16.7030504535647,0,1,"Aqui va un concepto"
"51",2014-01-30,153.752216218584,0,1,"Aqui va un concepto"
"52",2014-01-30,50.4614853635536,0,1,"Aqui va un concepto"
"53",2014-01-31,62.0411988445749,0,1,"Aqui va un concepto"
"54",2014-01-31,39.5278426729707,0,1,"Aqui va un concepto"
"55",2014-02-01,192.25116983301,0,1,"Aqui va un concepto"
"56",2014-02-02,264.591425157981,0,1,"Aqui va un concepto"
"57",2014-02-03,89.2361301551602,0,1,"Aqui va un concepto"
"58",2014-02-03,33.5261609685795,0,1,"Aqui va un concepto"
"59",2014-02-03,94.8472975130375,0,1,"Aqui va un concepto"
"60",2014-02-04,127.114486267877,0,1,"Aqui va un concepto"
"61",2014-02-06,100.726741274416,0,1,"Aqui va un concepto"
"62",2014-02-07,54.6074251163891,0,1,"Aqui va un concepto"
"63",2014-02-07,12.5038204892127,0,1,"Aqui va un concepto"
"64",2014-02-07,215.456213766078,0,1,"Aqui va un concepto"
"65",2014-02-07,20.6490183743414,0,1,"Aqui va un concepto"
"66",2014-02-07,60.5767458418896,0,1,"Aqui va un concepto"
"67",2014-02-07,52.4478389490164,0,1,"Aqui va un concepto"
"68",2014-02-08,144.52761255738,0,1,"Aqui va un concepto"
"69",2014-02-08,98.9987042490825,0,1,"Aqui va un concepto"
"70",2014-02-08,42.0977944479787,0,1,"Aqui va un concepto"
"71",2014-02-10,120.814054120511,0,1,"Aqui va un concepto"
"72",2014-02-10,108.018693181302,0,1,"Aqui va un concepto"
"73",2014-02-10,126.189761691633,0,1,"Aqui va un concepto"
"74",2014-02-10,38.7009463063197,0,1,"Aqui va un concepto"
